id,name
1,Campus Henry Christophe de Limonade (CHCL)
2,Ecole de Droit de Hinche (EDH)
3,Ecole de Droit de Jacmel (EDJ)
4,Ecole de Droit et des Sciences Economiques de Fort Liberte (EDSEFL)
5,Ecole de Droit et des Sciences Economiques de Port-de-paix (EDEPP)
6,Ecole de Droit et des Sciences Economiques des Cayes (EDSEC)
7,Ecole de Droit et des Sciences Economiques des Gonaives (EDSEG)
8,Ecole Nationale d'Infirmières (ENIs : Cayes/Cap-Haitien/Jeremie) (ENIC, EINDPS, EINDS)
9,Ecole Normale Supérieure (ENS)
10,Faculté d'Agronomie et de Médecine Vétérinaire (FAMV)
11,Faculté d'Ethnologie (FE)
12,Faculté de Droit et des Sciences Économiques (FDSE)
13,Faculté de Droit, des Sciences Économiques et de Gestion du Cap-Haïtien (FDSEG-CAP)
14,Faculté de Linguistique Appliquée (FLA)
15,Faculté de Médecine et de Pharmacie (FMP)
16,Faculté des Sciences (FDS)
17,Faculté des Sciences Humaines (FASH)
18,Faculté d'Odontologie (FO)
19,Institut d'Etudes et de Recherches Africaines d'Haiti (IERAH)
20,Institut National d'Administration de Gestion et des Hautes Etudes Internationales (INAGHEI)
